"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Protoschizomidae",NA,"†Onychothelyphonus","†Onychothelyphonus bonneri","female","No data","No data","No data","No data","No data","No data","Absent","No data","No data","No data","No data","No data","No data","No data","Tergite (I)X-XI(I) elongated","No data","No data","No data","No data","5 flagellomeres",NA,"3.64","3.64","1.0900000000000001","1.0900000000000001","< 90°","No data","No data","No data","USA","North America","Pliocene","Pierce 1950"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus huitzmolotitlensis","male","Single seta","Pair","1 pair","Absent","Entire","No data","Absent","Absent","1.1000000000000001","1.21","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","7","7","1.47","1.47","< 90°","4.8","4.8","Strict troglobite","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992, Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus juxtlahuacensis","female","Single seta","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","No data","No data","5 flagellomeres",NA,"6.2","6.2","No data","No data","< 90°","No data","No data","Strict troglobite","Mexico","Mexico","New World","Montaño-Moreno & Francke 2009; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus juxtlahuacensis","male","Single seta","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","0.88","0.88","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","6.57","6.57","1.42","1.42","< 90°","5.15","5.15","Strict troglobite","Mexico","Mexico","New World","Montaño-Moreno & Francke 2009; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus lucifer","female","Single seta","Pair","2 pairs","Absent","Divided","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"10.61","12.4","1.26","1.45","< 90°","5.4","5.4","Strict troglobite","Mexico","Mexico","New World","Rowland 1971a; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus lucifer","male","Single seta","Pair","2 pairs","Absent","Divided","Absent","Absent","Absent","1.1000000000000001","1.17","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","8.14","10.56","1.53","1.72","< 90°","5.3","5.3","Strict troglobite","Mexico","Mexico","New World","Rowland 1971a; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus patei","female","Single seta","Pair","2 pairs","Absent","Entire","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","1 flagellomere",NA,"8.02","8.02","2.0099999999999998","2.0099999999999998","< 90°","8.25","8.25","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus patei","male","Single seta","Pair","2 pairs","Absent","Entire","Absent","Absent","Absent","1.33","1.33","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","7.44","7.44","2.17","2.17","< 90°","8.25","8.25","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus stygius","female","Single seta","Pair","1 pair","Absent","Entire","No data","Absent","Absent","1.3","1.3","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","2 flagellomeres",NA,"9.66","9.66","1.73","1.73","< 90°","6","6","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
