"Family","Subfamily","Genus","Species","Junior synonyms","Country (type locality)","Subregion","Region","Type locality"
"Protoschizomidae, Rowland 1975",NA,"†Onychothelyphonus, Pierce 1950","†O. bonneri, Pierce, 1950",NA,"USA","North America","Pliocene","Bonner Quarry, N. side of Black Mesa, 27.4 km S of Ashfork, Yavapai County, Arizona, USA*"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. huitzmolotitlensis, Rowland, 1975","Schizomus sp., Reddell, 1967c","Mexico","Mexico","New World","Sótano de Huitzmolotitla, 1 km ESE of Tlamaya, San Luis Potosí, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. juxtlahuacensis, Montaño-Moreno & Francke, 2009",NA,"Mexico","Mexico","New World","Grutas de Juxtlahuaca, Guerrero, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. lucifer, Rowland, 1971a",NA,"Mexico","Mexico","New World","El Sótana de la Tinaja, 10 km NNE of Ciudad Valles, San Luis Potosí, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. patei, Cokendolpher & Reddell, 1992","Agastoschizomus sp., Rowland & Reddell, 1977","Mexico","Mexico","New World","Cueva de la Llorona, 3.5 km SSE of Yerbabuena, Tamaulipas, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. stygius, Cokendolpher & Reddell, 1992","Agastoschizomus sp., Rowland & Reddell, 1977; Agastoschizomus sp., Reddell, 1981","Mexico","Mexico","New World","Sótano Hondo de Pinalito, Pinalito, Hidalgo, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. tamaulipensis, Monjaraz-Ruedas, Francke & Cokendolpher, 2016",NA,"Mexico","Mexico","New World","Grutas de Quintero, 1.5 km S of Quintero, Ciudad Mante, Tamaulipas, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. tenebris, Monjaraz-Ruedas, Francke & Cokendolpher, 2017",NA,"Mexico","Mexico","New World","Cueva del Diablo, Pena de Valle de Bravo, Estado de México, Mexico"
"Protoschizomidae, Rowland 1975",NA,"Agastoschizomus, Rowland 1971a","A. texanus, Monjaraz-Ruedas, Francke & Cokendolpher, 2018",NA,"USA","North America","New World","Seminole Canyon Cave, Seminole Canyon State Parc, Val Verde County, Texas, USA"
"Protoschizomidae, Rowland 1975",NA,"Protoschizomus, Rowland 1975","P. franckei, Monjaraz-Ruedas, 2013",NA,"Mexico","Mexico","New World","Cueva de Boca del Diablo, Acuitlapaán, Taxco de Alarcón, Guerrero, Mexico"
